국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수
스리랑카,"241,820
(+2,131)","37,798
(+2,079)","2,633
(+52)","201,389",1.1,83.3,"11,293","21,413,249"
부르키나파소,"13,469",9,167,"13,293",1.2,98.7,644,"20,903,273"
말리,"14,385
(+4)","3,825
(+1)",524,"10,036
(+3)",3.6,69.8,710,"20,250,833"
루마니아,"1,080,282","2,684","32,391","1,045,207",3.0,96.8,"56,154","19,237,691"
말라위,"34,914
(+46)","852
(+23)","1,171
(+3)","32,891
(+20)",3.4,94.2,"1,825","19,129,952"
칠레,"1,522,223
(+5,205)","38,470
(-1,332)","31,645
(+132)","1,452,108
(+6,405)",2.1,95.4,"79,630","19,116,201"
카자흐스탄,"410,523
(+943)","20,147
(-148)","4,249
(+7)","386,127
(+1,084)",1.0,94.1,"21,863","18,776,707"
잠비아,"130,631","18,490","1,691","110,450",1.3,84.6,"7,106","18,383,955"
과테말라,"280,854
(+347)","17,419
(-454)","8,735
(+41)","254,700
(+760)",3.1,90.7,"15,677","17,915,568"
에콰도르,"446,633
(+192)","9,821
(+181)","21,304
(+11)","415,508",4.8,93.0,"25,315","17,643,054"
시리아,"25,158
(+40)","1,563
(+28)","1,848
(+3)","21,747
(+9)",7.3,86.4,"1,438","17,500,658"
네덜란드,"1,679,542",N/A,"17,727",N/A,1.1,N/A,"98,019","17,134,872"
세네갈,"42,437",365,"1,158","40,914",2.7,96.4,"2,534","16,743,927"
캄보디아,"43,446","5,002",441,"38,003",1.0,87.5,"2,599","16,718,965"
차드,"4,947
(+1)","5
(+1)",174,"4,768",3.5,96.4,301,"16,425,864"
소말리아,"14,867
(+15)","6,888
(-39)",775,"7,204
(+54)",5.2,48.5,935,"15,893,222"
짐바브웨,"42,195
(+416)","3,310
(+387)","1,685
(+13)","37,200
(+16)",4.0,88.2,"2,839","14,862,924"
기니,"23,535
(+85)","1,085
(+53)",168,"22,282
(+32)",0.7,94.7,"1,792","13,132,795"
르완다,"31,435
(+622)","4,343
(+616)","388
(+6)","26,704",1.2,84.9,"2,427","12,952,218"
베냉,"8,140",58,103,"7,979",1.3,98.0,671,"12,123,200"
부룬디,"5,242
(+121)","4,461
(+121)",8,773,0.2,14.7,441,"11,890,784"
튀니지,"385,428
(+2,478)","34,658
(-1,292)","14,118
(+80)","336,652
(+3,690)",3.7,87.3,"32,612","11,818,619"
볼리비아,"422,811
(+764)","65,678
(-1,133)","16,174
(+42)","340,959
(+1,855)",3.8,80.6,"36,221","11,673,021"
벨기에,"1,079,640
(+225)","37,925
(+220)","25,141
(+5)","1,016,574",2.3,94.2,"93,156","11,589,623"
아이티,"17,371","4,319",385,"12,667",2.2,72.9,"1,523","11,402,528"
쿠바,"169,365
(+1,561)","8,420
(+263)","1,170
(+11)","159,775
(+1,287)",0.7,94.3,"14,953","11,326,616"
남수단,"10,786
(+16)","157
(+16)",115,"10,514",1.1,97.5,964,"11,193,725"
도미니카 공화국,"317,645
(+858)","54,238
(-620)","3,758
(+2)","259,649
(+1,476)",1.2,81.7,"29,282","10,847,910"
체코,"1,666,082","2,640","30,280","1,633,162",1.8,98.0,"155,578","10,708,981"
그리스,"418,548
(+206)","6,111
(-683)","12,559
(+17)","399,878
(+872)",3.0,95.5,"40,156","10,423,054"
요르단,"747,000
(+520)","6,498
(-135)","9,671
(+9)","730,831
(+646)",1.3,97.8,"73,213","10,203,134"
포르투갈,"865,806
(+756)","28,657
(+360)","17,068
(+3)","820,081
(+393)",2.0,94.7,"84,910","10,196,709"
아제르바이잔,"335,521",959,"4,963","329,599",1.5,98.2,"33,092","10,139,177"
스웨덴,"1,084,636",N/A,"14,537",N/A,1.3,N/A,"107,398","10,099,265"
온두라스,"254,194
(+319)","155,560
(+179)","6,772
(+6)","91,862
(+134)",2.7,36.1,"25,664","9,904,607"
아랍에미레이트,"613,993","19,246","1,763","592,984",0.3,96.6,"62,080","9,890,402"
헝가리,"807,630","42,097","29,959","735,574",3.7,91.1,"83,603","9,660,351"
