국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수,국토면적
알제리,"136,294
","37,831
","3,641
","94,822
",2.7,69.6,"3,108","43,851,044","2,381,741"
수단,"36,347","3,548","2,737","30,062",7.5,82.7,829,"43,849,260","1,861,484"
우크라이나,"2,229,846","25,674","52,032","2,152,140",2.3,96.5,"50,987","43,733,762","603,628"
이라크,"1,292,700","70,911","16,910","1,204,879",1.3,93.2,"32,139","40,222,493","438,317"
아프가니스탄,"105,755","36,391","4,293","65,071",4.1,61.5,"2,717","38,928,346","652,230"
폴란드,"2,878,840","153,363","74,829","2,650,648",2.6,92.1,"76,066","37,846,611","312,685"
캐나다,"1,409,607
","11,032
","26,084
","1,372,491
",1.9,97.4,"37,348","37,742,154","9,984,670"
모로코,"526,737
","3,595
","9,244
","513,898
",1.8,97.6,"14,271","36,910,560","446,550"
사우디아라비아,"475,403","10,584","7,691","457,128",1.6,96.2,"13,656","34,813,871","2,149,690"
우즈베키스탄,"106,452","3,571",718,"102,163",0.7,96,"3,181","33,469,203","447,400"
페루,"2,030,611
",N/A,"190,645
",N/A,9.4,N/A,"61,586","32,971,854","1,285,216"
앙골라,"37,748
","5,098
","868
","31,782
",2.3,84.2,"1,149","32,866,272","1,246,700"
말레이시아,"701,019","62,918","4,477","633,624",0.6,90.4,"21,659","32,365,999","329,847"
모잠비크,"72,577
","1,488
",848,"70,241
",1.2,96.8,"2,322","31,255,435","801,590"
가나,"95,059
","1,260
","794
","93,005
",0.8,97.8,"3,059","31,072,940","238,533"
예멘,"6,889
","1,576
","1,355","3,958
",19.7,57.5,231,"29,825,964","527,968"
네팔,"622,640","53,940","8,772","559,928",1.4,89.9,"21,370","29,136,808","147,516"
베네수엘라,"262,038
","16,708
","2,973
","242,357
",1.1,92.5,"9,215","28,435,940","912,050"
마다가스카르,"42,137",765,903,"40,469",2.1,96,"1,522","27,691,018","587,041"
카메룬,"80,328",853,"1,313","78,162",1.6,97.3,"3,026","26,545,863","475,440"
코트디부아르,"48,047
","252
",308,"47,487
",0.6,98.8,"1,821","26,378,274","322,463"
호주,"30,366
","184
",910,"29,272",3,96.4,"1,191","25,499,884","7,741,220"
니제르,"5,469",98,193,"5,178",3.5,94.7,226,"24,206,644","1,267,000"
대만,"14,080","5,977
",569,"7,534
",4,53.5,591,"23,816,775","36,197"
스리랑카,"241,820
","37,798
","2,633
","201,389",1.1,83.3,"11,293","21,413,249","65,610"
부르키나파소,"13,469",9,167,"13,293",1.2,98.7,644,"20,903,273","274,200"
말리,"14,385
","3,825
",524,"10,036
",3.6,69.8,710,"20,250,833","1,240,192"
루마니아,"1,080,282","2,684","32,391","1,045,207",3,96.8,"56,154","19,237,691","238,391"
말라위,"34,914
","852
","1,171
","32,891
",3.4,94.2,"1,825","19,129,952","118,484"
칠레,"1,522,223
","38,470
","31,645
","1,452,108
",2.1,95.4,"79,630","19,116,201","756,096"
카자흐스탄,"410,523
","20,147
","4,249
","386,127
",1,94.1,"21,863","18,776,707","2,724,900"
잠비아,"130,631","18,490","1,691","110,450",1.3,84.6,"7,106","18,383,955","752,618"
과테말라,"280,854
","17,419
","8,735
","254,700
",3.1,90.7,"15,677","17,915,568","108,889"
에콰도르,"446,633
","9,821
","21,304
","415,508",4.8,93,"25,315","17,643,054","283,561"
시리아,"25,158
","1,563
","1,848
","21,747
",7.3,86.4,"1,438","17,500,658","185,180"
네덜란드,"1,679,542",N/A,"17,727",N/A,1.1,N/A,"98,019","17,134,872","41,543"
세네갈,"42,437",365,"1,158","40,914",2.7,96.4,"2,534","16,743,927","196,722"
캄보디아,"43,446","5,002",441,"38,003",1,87.5,"2,599","16,718,965","181,035"
차드,"4,947
","5
",174,"4,768",3.5,96.4,301,"16,425,864","1,284,000"
소말리아,"14,867
","6,888
",775,"7,204
",5.2,48.5,935,"15,893,222","637,657"
짐바브웨,"42,195
","3,310
","1,685
","37,200
",4,88.2,"2,839","14,862,924","390,757"
기니,"23,535
","1,085
",168,"22,282
",0.7,94.7,"1,792","13,132,795","245,857"
르완다,"31,435
","4,343
","388
","26,704",1.2,84.9,"2,427","12,952,218","26,338"
베냉,"8,140",58,103,"7,979",1.3,98,671,"12,123,200","112,622"
